bank,review,rating,date,source
CBE,ለምንድን ነው ከንግድ ባንክ ወደ ቴሌብር 5 ብር ሲተላለፍ 11 ብር እንዲቆርጥ ያደረጋችሁት,1,2025-10-31,Google Play
CBE,I love this app b/c every option in the app very clear and supportive.,5,2025-10-30,Google Play
CBE,niiceh,5,2025-10-29,Google Play
CBE,the app is good but their is no dark mode you have to add it,3,2025-10-29,Google Play
CBE,🤮,1,2025-10-29,Google Play
CBE,abdulakim abrahim elemoo,5,2025-10-29,Google Play
CBE,strong,5,2025-10-28,Google Play
CBE,Abebaw Zenebe,5,2025-10-28,Google Play
CBE,good I love it keep it up but if we had a new update that will be fire Soo good,5,2025-10-27,Google Play
CBE,Cbe,5,2025-10-27,Google Play
CBE,Active and granted system,5,2025-10-27,Google Play
CBE,fast app,4,2025-10-27,Google Play
CBE,cool 😎,5,2025-10-27,Google Play
CBE,Galaxy A10s,3,2025-10-26,Google Play
CBE,the best apps,5,2025-10-26,Google Play
CBE,arif app new,5,2025-10-26,Google Play
CBE,laga Bari biranch,5,2025-10-26,Google Play
CBE,ነነሠነሠሠነሠሠሠሠነየነ,5,2025-10-26,Google Play
CBE,I would like to suggest you improve the time out as it takes the money and doesn't return it back until the next day.,3,2025-10-25,Google Play
CBE,Attractive,5,2025-10-25,Google Play
CBE,mite,5,2025-10-24,Google Play
CBE,useful,5,2025-10-24,Google Play
CBE,"not good, not bad!",3,2025-10-23,Google Play
CBE,very good,5,2025-10-23,Google Play
CBE,እጅግ በጣም አስቀያሚ ጠቁአም ዘረፋ በሚባል ደርጃ የ አገልግሎት የሚቀበል ያልሰራበትን የገዛ ገንዝበባችንን ተዘረፍን ከ 100ብር 10ብር የአገልግሎት ማስከፈል ምን ማለት ነው እባካችሁ እዩት እስትይ ከ ሞባይል ባንክ ወደ ampsa አስተላልፉና እዩት በጣም ይገርማል ሌባ ብያቸዋልሁ,1,2025-10-22,Google Play
CBE,imp,5,2025-10-22,Google Play
CBE,super fast app,5,2025-10-21,Google Play
CBE,"The app has a nice design and useful features like balance check and transfers, but it’s unstable and often fails to connect. It also forces users to turn off Developer Options, which is unnecessary — other banking apps work fine without that. Many people use Developer Mode for normal reasons. Please fix performance issues, remove this restriction, and add biometric login for better security and convenience",2,2025-10-19,Google Play
CBE,cbe,4,2025-10-18,Google Play
CBE,"it says ""ti is work any more in your device"" what can i do??",1,2025-10-18,Google Play
CBE,blah blah blah,5,2025-10-18,Google Play
CBE,bad ግዴታ መሆንሁ,1,2025-10-17,Google Play
CBE,CBE no.1,5,2025-10-17,Google Play
CBE,"it's not work correctly when it's needed sometimes, but it works sometimes though",2,2025-10-16,Google Play
CBE,its easy to use and more secured than the previous one. i love it and appreciate commercial bank of ethiopia for every time update.,5,2025-10-16,Google Play
CBE,gooof,5,2025-10-16,Google Play
CBE,"Suddenly the cbe application I was using stopped working and called callcenter, I was told it's because it expired and I should vist any branch to fix it. So I went to CBE Silassie branch.After filling a form they gave me, I sat down and waited until they finish fixing 2 customer's case who arrived before me. But then when it was my turn ppl who came after me with same mobile banking and even Atm card cases were finishing up and leaving I had to get back to my work so I left.with no service.why?",1,2025-10-16,Google Play
CBE,Best app,5,2025-10-16,Google Play
CBE,still not perfect like before,1,2025-10-15,Google Play
CBE,This app dash board is disturbing me. it is not showing me traxation and my balance while displaying others option on dashboard. I think it is a risk full app😭😭😭🤤🤤,1,2025-10-15,Google Play
CBE,APPLIED,1,2025-10-14,Google Play
CBE,10 years ago,4,2025-10-14,Google Play
CBE,Asefa Obsa,5,2025-10-14,Google Play
CBE,it's good app,5,2025-10-14,Google Play
CBE,very slow,1,2025-10-14,Google Play
CBE,berhan deriba wami,4,2025-10-14,Google Play
CBE,mahamad Usman,5,2025-10-13,Google Play
CBE,Erako,5,2025-10-13,Google Play
CBE,🔥🔥🔥🔥🔥,5,2025-10-13,Google Play
CBE,opne,5,2025-10-13,Google Play
CBE,mehommd nuri,5,2025-10-13,Google Play
CBE,Best,5,2025-10-12,Google Play
CBE,providing very secure service.,5,2025-10-12,Google Play
CBE,apk አሪፍ ነው ግን በጣም apkwun የሚከፍቱ የ ባንክ ሰራተኞች በጣም ደካማ ናቸው ሲያስተናግዱ ለ ደንበኛ ክብር የላቸውም እኔ መመላለስ ከጀመርኩ ቆየው ግን መፍትህ ላገኝ አልችልኩም ::,1,2025-10-12,Google Play
CBE,ዳር ኑሮ ላለው ኣፍሪቻን ው,5,2025-10-12,Google Play
CBE,RIYAD Mohammed Abaoli 92 527 2567,5,2025-10-12,Google Play
CBE,it doesn't show bank statement and no options to see transactions for the past months.,2,2025-10-12,Google Play
CBE,Mamma Husen,2,2025-10-11,Google Play
CBE,3 stars because I can't see all my transaction history apart from the recents and a refresh button has been removed from the Recents activity. The app should allow clients to view all of the transactions not just recents.,3,2025-10-11,Google Play
CBE,exceptional application from others bank,5,2025-10-10,Google Play
CBE,"it is very nice. but i have a serious suggestion when you send to other cbe birr customer, it does not show the name of the recipient befor it actually send the money. please improve this",4,2025-10-10,Google Play
CBE,good👍👍👍😊😊😊,5,2025-10-10,Google Play
CBE,really good app,5,2025-10-10,Google Play
CBE,smart bank CBE,5,2025-10-10,Google Play
CBE,Ali urgesa11,3,2025-10-09,Google Play
CBE,it's good,5,2025-10-09,Google Play
CBE,Good apps,5,2025-10-09,Google Play
CBE,password በጣት አሻራ ቢኖረው መልካም ነበር,4,2025-10-09,Google Play
CBE,best app i ever seen,5,2025-10-09,Google Play
CBE,it's game changing in financial system,4,2025-10-09,Google Play
CBE,"z,MKT 20_._!8+⅓⅕😘r",1,2025-10-09,Google Play
CBE,will good updating,5,2025-10-09,Google Play
CBE,"service charge , vat, fee everything here is not yours they wanna take what you have, everything is not fair",1,2025-10-08,Google Play
CBE,why removing screenshot feature why?,2,2025-10-08,Google Play
CBE,very good application! thank you all who participate!,5,2025-10-08,Google Play
CBE,application bank commercial Ethiopia I am very happy to be able to appear in a great job on a pleasant job,5,2025-10-08,Google Play
CBE,user compatible app!,5,2025-10-08,Google Play
CBE,"I am trying to access this app on my Android phone, but sometimes doesn't work. so kindly try to improve it.",3,2025-10-07,Google Play
CBE,what an amazing app. you know how much it simplify life. Thanks cbe. I proud of you.,5,2025-10-07,Google Play
CBE,Our Commercial Bank of Ethiopia is Good !,5,2025-10-06,Google Play
CBE,Asledin Ibsa,5,2025-10-06,Google Play
CBE,terrible when showing history of transaction it shows in disorganised way,3,2025-10-05,Google Play
CBE,my bank,5,2025-10-05,Google Play
CBE,Data,5,2025-10-04,Google Play
CBE,"lately I am facing a problem with the app ,and the problem is when log in and inter my pin it doesn't work at all and says 'can't sync' why does it say that I was working fine a few day ago and also it says when I enter my pin 'change your pin to 6 digit pin and it doesn't allow me to change it please solve what is the problem with the app ?",2,2025-10-04,Google Play
CBE,excellent app with lots of features,5,2025-10-04,Google Play
CBE,very good 👍 mobile banking,5,2025-10-04,Google Play
CBE,so special,5,2025-10-04,Google Play
CBE,wiiy ewdihiliw esimirt niho yitnehew metgeyot ❤💞🤔😴🤩😍,1,2025-10-03,Google Play
CBE,woow cbe,5,2025-10-03,Google Play
CBE,cbe the best bank app,4,2025-10-03,Google Play
CBE,This App CBE bank it's Simple and Smart I Like it.,5,2025-10-03,Google Play
CBE,Rijalufaris,5,2025-10-02,Google Play
CBE,its Best app But i hate the Repeatedly update request,5,2025-10-02,Google Play
CBE,imoo,3,2025-10-02,Google Play
CBE,"it was good since it become a robber the vat ,tax,service charge,unbelievable charge to send to other bank, monthly charge,etc i hope one international bank comes and we all leave this bank. enough is enough",1,2025-10-02,Google Play
CBE,screen shoot always not allowed why?,5,2025-10-02,Google Play
CBE,enkorabetalen,5,2025-10-01,Google Play
CBE,Gamada mahamadi,1,2025-10-01,Google Play
CBE,it is very good banking web but its network is sometimes busy i hope they willfix the problem,4,2025-09-30,Google Play
CBE,verfcasencod,5,2025-09-30,Google Play
CBE,you can't get your own transaction history,1,2025-09-29,Google Play
CBE,sintu,5,2025-09-29,Google Play
CBE,BEST,5,2025-09-28,Google Play
CBE,Bank of Ethiopia,5,2025-09-28,Google Play
CBE,"All most Good, but need improvement",5,2025-09-27,Google Play
CBE,"Great application for me,So I would like to rate with Solid 5 star.That It works well overall. So hello everyone enjoy the apps",5,2025-09-27,Google Play
CBE,poor app all of you guys delete CBE and download BOA,1,2025-09-27,Google Play
CBE,niceapp,5,2025-09-27,Google Play
CBE,the best app of all,5,2025-09-25,Google Play
CBE,❤️,5,2025-09-25,Google Play
CBE,"Most of the time when I try to open the app, it does not load. The circle keeps spinning as if it is trying to open, and get a message saying "" 2 attempts left for offline login"". This seems to mean that the app cannot connect to the internet, even though I have a stable internet connection, and all other stuff work properly.",2,2025-09-24,Google Play
CBE,Juhaar,5,2025-09-24,Google Play
CBE,I am using CBE app very fantastic.,5,2025-09-24,Google Play
CBE,bist app tankyou,4,2025-09-23,Google Play
CBE,this is very useful and consistent app,5,2025-09-23,Google Play
CBE,"this application provides timely service in a good, fast and reliable manner.",5,2025-09-23,Google Play
CBE,So good,5,2025-09-23,Google Play
CBE,it will be more better if the app have the feature receipt verifying from QR CODE SCREENSHOT IMAGES FROM gallery ... currently IT WORKS ONLY FROM DIRECT CAMERA CAPTURING,4,2025-09-23,Google Play
CBE,"From the UX perspective it can be better, it's old and it's not obvious where you can find some things",3,2025-09-22,Google Play
CBE,It is amazing app but it is more better if it is possible to transfer from account to other telebirr,5,2025-09-22,Google Play
CBE,"The app was great while it was active. However, after the app did an update, I lost connection with a message ""Network Error"". Please try to fix it as there are many clients of CBE using this app globally from abroad countries.",3,2025-09-21,Google Play
CBE,very important app,4,2025-09-21,Google Play
CBE,the best of all mobile banking in Ethiopia works perfectly fine,5,2025-09-21,Google Play
CBE,DANTRO BAND!!!,5,2025-09-21,Google Play
CBE,some time when make transfer from Mobile account to other cbebirr wallet no show customer name so please check it......thanks my cbe.. cbebirr application very nice application wallet,5,2025-09-20,Google Play
CBE,this app is very useful but sometimes when you want to see specific transactions it didn't work so that way i gave 3,3,2025-09-20,Google Play
CBE,why i must visit the branch i opened my account to activate the mobile banking services? if it a connected network it maybe done from any branch.,1,2025-09-20,Google Play
CBE,አሪፍ ነው አሁን ደግሞ እስክሪን ሹት ማረግ በመቻሌ ደግብሎኛል,5,2025-09-20,Google Play
CBE,asfaw damse,5,2025-09-19,Google Play
CBE,jabadhaa namatii tolataan,5,2025-09-19,Google Play
CBE,"The App is very good in its interface and user friendly. But it could be a pro app had it had additional feature that let us run multiple accounts on a single phone with an option of ""additional"" account!",3,2025-09-19,Google Play
CBE,The app is user friendly. But i want some amendment or include option of sending money to other tele birr like other cbe birr.,4,2025-09-18,Google Play
CBE,Truly amazing!,5,2025-09-18,Google Play
CBE,Doesn't have option to generate statement for transactions,3,2025-09-18,Google Play
CBE,😎,5,2025-09-18,Google Play
CBE,JanaleBl,5,2025-09-17,Google Play
CBE,nice application,5,2025-09-17,Google Play
CBE,WaaaaaaaW,1,2025-09-17,Google Play
CBE,very nice,5,2025-09-16,Google Play
CBE,Of,5,2025-09-16,Google Play
CBE,it's best app to use recently and upgraded day to day for internationalization,4,2025-09-16,Google Play
CBE,Easy to use and not Complicated 👍,5,2025-09-15,Google Play
CBE,apdat the app,5,2025-09-14,Google Play
CBE,good in bankin at any time & any where.,5,2025-09-13,Google Play
CBE,great,5,2025-09-13,Google Play
CBE,"WHAT A USELESS APP! Transfers, wallet payments, other banks — nothing works. Updated, restarted, cleared cache, reinstalled — still useless. Crashed and forced me to visit a branch just to log in 3 times. One of the biggest banks in the country can’t fix issues a junior developer could solve. Completely unreliable. Big bank , Zero functionality!",1,2025-09-13,Google Play
CBE,it is best to me,1,2025-09-13,Google Play
CBE,hayizgi mebrahtom feshay,5,2025-09-13,Google Play
CBE,Excellent app,5,2025-09-12,Google Play
CBE,after apdate the app doesn't work any thing else it said enable to connects,1,2025-09-12,Google Play
CBE,love,5,2025-09-12,Google Play
CBE,Hasasa bank,1,2025-09-11,Google Play
CBE,All ways Trusted.,5,2025-09-11,Google Play
CBE,best MB application in Ethiopia financial sector.,5,2025-09-11,Google Play
CBE,I like this app,5,2025-09-11,Google Play
CBE,am tired why I have to update every 5 day,1,2025-09-11,Google Play
CBE,usb debugig mode bicha off endidereg axrigu like awash bank,1,2025-09-10,Google Play
CBE,good morning 🙏,5,2025-09-10,Google Play
CBE,am happy 😃,5,2025-09-09,Google Play
CBE,wowww,5,2025-09-08,Google Play
CBE,KEHRU nasir AbFIXA,5,2025-09-08,Google Play
CBE,It is well organized.,5,2025-09-08,Google Play
CBE,Can't see the nearest Branch or ATM available,2,2025-09-08,Google Play
CBE,the app does not open,1,2025-09-07,Google Play
CBE,from Monk,3,2025-09-06,Google Play
CBE,"Amazing, Delightful and Seamless Mobile Banking Application, I have ever Experienced!! Indeed, I feel Great Proud to be part of your Stakeholder! My First Choice Bank, Commercial Bank of Ethiopia, The Pioneer and Leading in Digital Banking Services in Ethiopia! Five stars ⭐⭐⭐⭐⭐ are little to you! Thank you so much🙏",5,2025-09-06,Google Play
CBE,incredible,5,2025-09-06,Google Play
CBE,የዚህ አፕ ተጠቃሚ ነበርኩ ያለሁት ከሀገር ውጭ ነው እና እየተጠቀምኩበት ሳለ አብደት አድርጊ አለኝ ሳረገው ፓስወርድ እንዴ አድስ ጠየቀኝ እንዴው እኔ አለሁበት ሀገር ሆኘ መስተካከል ከቻለ ተባበሩኝ በጣም አስፈላጊዬ ነው ::,5,2025-09-06,Google Play
CBE,it's the best money transfer app ever,5,2025-09-06,Google Play
CBE,it is nice,5,2025-09-05,Google Play
CBE,user friendly. best.,5,2025-09-05,Google Play
CBE,🙏,5,2025-09-05,Google Play
CBE,አሪፍ,5,2025-09-05,Google Play
CBE,best app!!!,5,2025-09-05,Google Play
CBE,"It is good app and really user friendly , but it not possible to start service after the app is uninstalled or device phone is changed. So please make it easy for us, after once you set us the requirements in your office we should have to use it only by install and launch it. We do not have to visit the near by branch office every time for such silly businesses but important things. in addition to that why is that for hidding senders name or account number How can I know who tranfers to me???",4,2025-09-05,Google Play
CBE,very good app,5,2025-09-05,Google Play
CBE,jabirabdala,5,2025-09-04,Google Play
CBE,unfair cost of transportations... what a shame!!!,1,2025-09-04,Google Play
CBE,"I think it is a good app to use easily. However, I have one more comment: the app does not automatically sync or update the balance in real time. Please review this issue. For example, when someone transfers money, the receiver's app does not sync automatically. It requires the user to manually initiate an update to see the current balance.",4,2025-09-04,Google Play
CBE,WAW!!! I AM PROUD!!! MY STRONG BANK WORKS AT BEST EVEN IN A REMOTE LOCATION HERE IN MALABO (ECUATORIAL GUINEA). MEWOLID MUBARAK CBE!!!,5,2025-09-04,Google Play
CBE,zinaa Ahmed,5,2025-09-04,Google Play
CBE,absolutely excellent,5,2025-09-04,Google Play
CBE,amazing app,5,2025-09-03,Google Play
CBE,perfect and easy,5,2025-09-03,Google Play
CBE,fastest,5,2025-09-03,Google Play
CBE,My account is not working,4,2025-09-03,Google Play
CBE,The recent update is not optimized fir latest version of android,2,2025-09-02,Google Play
CBE,topp,5,2025-09-02,Google Play
CBE,I appreciate it,5,2025-09-01,Google Play
CBE,v.good app,5,2025-09-01,Google Play
CBE,sahib amin jamal,1,2025-08-31,Google Play
CBE,installi,5,2025-08-31,Google Play
CBE,very good apps,5,2025-08-30,Google Play
CBE,👍👍👍👍,1,2025-08-30,Google Play
CBE,the app say it is not compatible with ur phone can u fix it it is not updating.,1,2025-08-30,Google Play
CBE,"I would like to give you some feedback on Current update, its very nice and easy to use👍 but in some button there is still not improved For example while iwant to check my recent Txn it not well sequenced and arranged or some txn may not appear ... becouse of this i see many of users of this app discomferted maily merchants and those make High txn daily. improve and miximize the txn shown to 300 up to 500. make Searchable Recent txn button! All in all the bank i Relly on! CBE my bank !",5,2025-08-29,Google Play
CBE,tinishu titiba,5,2025-08-29,Google Play
CBE,"essy to use ,has great interface and user-friendly g",5,2025-08-29,Google Play
CBE,Yuuuuu,5,2025-08-29,Google Play
CBE,I found it very much friendly,5,2025-08-29,Google Play
CBE,"Very useful app, while we use CBE.",5,2025-08-28,Google Play
CBE,woooow,5,2025-08-28,Google Play
CBE,Redmi,1,2025-08-28,Google Play
CBE,አርፍ ነው ነገር ግን ሴብ ያረገውን አካውንት እያጠፋብን ነው,5,2025-08-28,Google Play
CBE,kamil aweil,5,2025-08-28,Google Play
CBE,In your next update can you come with night mode future,5,2025-08-27,Google Play
CBE,"Truly, super competitive when compared to a well known app nowadays functioning broadly by simplest features and means namely known as Telebirr super app, Thus, CBE is my top ultimate choice that I prefer over the other bank due to its beautiful power of lead as a result I could recommend CBE to others because of its service provision via ethical principles and practice for customers satisfaction with existence of constraints and challenges face from burglary and froudalent hacker. Thank you !",5,2025-08-27,Google Play
CBE,mayreba app you its better if you use other banks,1,2025-08-27,Google Play
CBE,Not Prefect Transfer To Other Bank The Mony Not Deliverd Imidetliy Take Three Or Five Days,1,2025-08-27,Google Play
CBE,let us know before you shut down the app,4,2025-08-27,Google Play
CBE,excited,5,2025-08-27,Google Play
CBE,amizing,5,2025-08-26,Google Play
CBE,love it,5,2025-08-26,Google Play
CBE,yes it is v good,5,2025-08-26,Google Play
CBE,A great update in the Mobile Banking Application. Thanks for the System and customization department,5,2025-08-26,Google Play
CBE,this app is smart.,5,2025-08-26,Google Play
CBE,I am happy,5,2025-08-26,Google Play
CBE,Still I have not face critical problems sometimes delay to open,4,2025-08-26,Google Play
CBE,ጤና ከድረ,5,2025-08-25,Google Play
CBE,The connection between bank and the app is lag relationship this must be corrected.,4,2025-08-25,Google Play
CBE,I have forgotten mobail banking password,5,2025-08-25,Google Play
CBE,Thank you,5,2025-08-25,Google Play
CBE,muktaar Abraahim,5,2025-08-25,Google Play
CBE,🤞Good One,5,2025-08-24,Google Play
CBE,why does it say change pin to 6 digits is that right?,4,2025-08-24,Google Play
CBE,One of the worst mobile banking apps in Ethiopia. You can't access your txn record for more than 2 weeks.,1,2025-08-24,Google Play
CBE,i like it and aprshat.,4,2025-08-23,Google Play
CBE,"The app has some issues I updated recently and now I am not able to send funds to my telebirr wallet, also we need to have a place we save our contacts where we usually send money to, after update I keep loosing all the important accounts.",4,2025-08-23,Google Play
CBE,best app and easy to use,5,2025-08-23,Google Play
CBE,doesn't work unless with data doesn't refresh fast other wise functions ok but after the update transferring to telebirr is not working,2,2025-08-23,Google Play
CBE,List of transactions can't load over months and years..,1,2025-08-23,Google Play
CBE,transferring money to telebirr is not working,1,2025-08-23,Google Play
CBE,I don't Like this app and there service fee is highl,5,2025-08-23,Google Play
CBE,አዲሱ Update ጥሩ አይደለም. Update ካደረግኩት በኋላ ከዚህ በፊት ስላላክባቸው የነበሩትን Save አድርጎ ይዞት የነበረውን ሁሉንም የሰዎች አካውንቶች አጥፍቶብኛል.,2,2025-08-23,Google Play
CBE,this application do not show over all transaction history,3,2025-08-23,Google Play
CBE,this app is very nice but statment history is very shiort atlist add 15 days,4,2025-08-23,Google Play
CBE,"This app stooped working after i updated it. It says change password and i did, but it doesn't open with the new password. I don't like it.",1,2025-08-23,Google Play
CBE,best and secured application,5,2025-08-23,Google Play
CBE,This application is excellent .,5,2025-08-22,Google Play
CBE,"The new update is very bugged. can't view the names of account holders I previously had transactions with, and more recently, its almost impossible to load money to telebirr, always says unable to connect...please fix asap",1,2025-08-22,Google Play
CBE,Thise App is Great,5,2025-08-22,Google Play
CBE,አፕሊኬሽኑን አብዴት ካደረኩት በኋላ የሚስጥር ቁጥር አጭር ስለሆነ ቀይር ብሎኝ ለሶስት ቀናት ብሞክር unable to connect the server ከማለቱም በላይ አፕሊካሽኑ እየሰራልኝ አይደለም🙏🙏,1,2025-08-22,Google Play
CBE,"I love this app. really, but with some downsides too. Screenshot is mandatory after every transaction as to me, I need screenshots not downloaded recipient. It would be even better if transaction history is available via this app for months that we can access directly or via calender ways. Thanks.",4,2025-08-22,Google Play
CBE,👍,5,2025-08-22,Google Play
CBE,it is good app,5,2025-08-22,Google Play
CBE,good and always try to make new updats 🙏👍,5,2025-08-22,Google Play
CBE,"I use the Commercial Bank of Ethiopia mobile app, and it’s fantastic! The interface is user-friendly, making it easy to check balances and transfer money. I love the bill payment feature, and the security measures give me peace of mind. Overall, it’s a reliable app that has simplified my banking experience. Highly recommend!",5,2025-08-22,Google Play
CBE,i don' want,5,2025-08-22,Google Play
CBE,"it's very nice simple and convenient app! but I have only one comment on double verifications after the finger prints. even thought its good for makin' it more secure, Its not neccessary to double verify after the finger print verification. no need to verify by pin again. thank you!",5,2025-08-22,Google Play
CBE,one of the best,5,2025-08-22,Google Play
CBE,"why is it every time the app is updated history of previous account numbers keeps missing , WHY??",1,2025-08-21,Google Play
CBE,You guys charge way to much when we transfer money from CBE to Telebirr via this app,3,2025-08-21,Google Play
CBE,not bad apk,1,2025-08-21,Google Play
CBE,yes these app is so good for our saving and marketing system go ETHIOPIA GO!!!,5,2025-08-21,Google Play
CBE,best mobile banking App that have seen .,5,2025-08-21,Google Play
CBE,It's very helpful apps,5,2025-08-21,Google Play
CBE,Every major update means you have to go back to Ethiopia to make the app work. In 2025?,2,2025-08-21,Google Play
CBE,"Unable to connect, pls. Improve the system",5,2025-08-20,Google Play
CBE,well app,5,2025-08-20,Google Play
CBE,"Smart service But, your service charge is too high",5,2025-08-20,Google Play
CBE,perfect 👌 keep,5,2025-08-20,Google Play
CBE,"እባካችሁ አፑ ጥሩ ነው ነገር ግን በፈለግነው ጊዜና ሰአት መጠቀም አልቻልንም ኔትዎርክ እያለ እንኳ እያስጠቀመን አይደለም""""",2,2025-08-20,Google Play
